myFlowerExperiment | INFO flwr 2023-10-11 22:09:49,782 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 22:09:49,830 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-11 22:09:49,830 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:09:49,830 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:23:19,052 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:23:19,053 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:23:19,054 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 22:23:37,792 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:25:42,839 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:25:42,925 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-11 22:25:42,925 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:25:46,289 | server.py:182 | evaluate_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:25:46,289 | fedavg.py:274 | No evaluate_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-11 22:25:46,290 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:26:23,784 | server.py:232 | fit_round 2 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-11 22:29:30,081 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 22:29:30,097 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-11 22:29:30,097 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:29:30,097 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:29:46,213 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:29:46,213 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:29:46,214 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 22:29:58,453 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:30:24,195 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:30:24,231 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-11 22:30:24,231 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:30:25,811 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | INFO flwr 2023-10-11 22:31:24,268 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 22:31:24,268 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-11 22:31:24,268 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:31:24,268 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:44:42,240 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:44:42,240 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:44:42,240 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 22:44:46,619 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:45:12,465 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:45:12,548 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
myFlowerExperiment | DEBUG flwr 2023-10-11 22:45:12,548 | server.py:168 | evaluate_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:45:14,292 | server.py:182 | evaluate_round 1 received 0 results and 3 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:47:36,733 | server.py:218 | fit_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:48:03,413 | server.py:232 | fit_round 2 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:48:03,459 | server.py:168 | evaluate_round 2: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:48:05,198 | server.py:182 | evaluate_round 2 received 0 results and 3 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:49:04,895 | server.py:218 | fit_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:49:50,167 | server.py:232 | fit_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:49:50,185 | server.py:168 | evaluate_round 3: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:49:53,148 | server.py:182 | evaluate_round 3 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:49:53,149 | server.py:218 | fit_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:34,215 | server.py:232 | fit_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:34,255 | server.py:168 | evaluate_round 4: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:36,717 | server.py:182 | evaluate_round 4 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:36,718 | server.py:218 | fit_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:58,928 | server.py:232 | fit_round 5 received 3 results and 0 failures
myFlowerExperiment | DEBUG flwr 2023-10-11 22:50:58,990 | server.py:168 | evaluate_round 5: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:51:01,535 | server.py:182 | evaluate_round 5 received 3 results and 0 failures
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,535 | server.py:147 | FL finished in 379.2947764999999
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,536 | app.py:218 | app_fit: losses_distributed [(3, 0.4220951000849406), (4, 0.3298211296399434), (5, 0.29037047425905865)]
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,537 | app.py:219 | app_fit: metrics_distributed_fit {}
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,537 | app.py:220 | app_fit: metrics_distributed {}
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,538 | app.py:221 | app_fit: losses_centralized []
myFlowerExperiment | INFO flwr 2023-10-11 22:51:01,538 | app.py:222 | app_fit: metrics_centralized {}
myFlowerExperiment | INFO flwr 2023-10-11 22:52:00,306 | app.py:148 | Starting Flower server, config: ServerConfig(num_rounds=5, round_timeout=None)
myFlowerExperiment | INFO flwr 2023-10-11 22:52:00,306 | app.py:168 | Flower ECE: gRPC server running (5 rounds), SSL is disabled
myFlowerExperiment | INFO flwr 2023-10-11 22:52:00,306 | server.py:86 | Initializing global parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:52:00,306 | server.py:273 | Requesting initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:52:05,329 | server.py:277 | Received initial parameters from one random client
myFlowerExperiment | INFO flwr 2023-10-11 22:52:05,329 | server.py:88 | Evaluating initial parameters
myFlowerExperiment | INFO flwr 2023-10-11 22:52:05,329 | server.py:101 | FL starting
myFlowerExperiment | DEBUG flwr 2023-10-11 22:52:10,335 | server.py:218 | fit_round 1: strategy sampled 3 clients (out of 3)
myFlowerExperiment | DEBUG flwr 2023-10-11 22:52:36,621 | server.py:232 | fit_round 1 received 3 results and 0 failures
myFlowerExperiment | WARNING flwr 2023-10-11 22:52:36,713 | fedmedian.py:156 | No fit_metrics_aggregation_fn provided
