Client_ID,Accuracy,Loss,Round,benign_precision,benign_recall,benign_f1-score,benign_support,mirai_udp_precision,mirai_udp_recall,mirai_udp_f1-score,mirai_udp_support,gafgyt_combo_precision,gafgyt_combo_recall,gafgyt_combo_f1-score,gafgyt_combo_support,gafgyt_junk_precision,gafgyt_junk_recall,gafgyt_junk_f1-score,gafgyt_junk_support,gafgyt_scan_precision,gafgyt_scan_recall,gafgyt_scan_f1-score,gafgyt_scan_support,gafgyt_tcp_precision,gafgyt_tcp_recall,gafgyt_tcp_f1-score,gafgyt_tcp_support,gafgyt_udp_precision,gafgyt_udp_recall,gafgyt_udp_f1-score,gafgyt_udp_support,mirai_ack_precision,mirai_ack_recall,mirai_ack_f1-score,mirai_ack_support,mirai_scan_precision,mirai_scan_recall,mirai_scan_f1-score,mirai_scan_support,mirai_syn_precision,mirai_syn_recall,mirai_syn_f1-score,mirai_syn_support,mirai_udpplain_precision,mirai_udpplain_recall,mirai_udpplain_f1-score,mirai_udpplain_support
16,0.8954545259475708,0.24002671241760254,1,0.99,0.97,0.98,120.0,1.0,0.91,0.95,108.0,0.91,0.97,0.94,100.0,0.96,0.99,0.97,108.0,0.49,1.0,0.66,91.0,0.0,0.0,0.0,89.0,0.98,0.99,0.98,89.0,1.0,1.0,1.0,93.0,0.98,0.97,0.98,106.0,1.0,0.98,0.99,94.0,0.99,0.98,0.99,102.0
10,0.8700000047683716,0.2921473979949951,1,0.97,0.99,0.98,120.0,0.83,0.97,0.9,108.0,0.99,0.77,0.87,100.0,1.0,0.97,0.99,108.0,0.49,1.0,0.65,91.0,1.0,0.01,0.02,89.0,0.82,1.0,0.9,89.0,1.0,0.99,0.99,93.0,0.99,0.99,0.99,106.0,1.0,0.77,0.87,94.0,1.0,0.99,1.0,102.0
19,0.9027272462844849,0.2136184126138687,1,0.99,0.97,0.98,120.0,1.0,0.98,0.99,108.0,1.0,0.95,0.97,100.0,0.96,0.97,0.97,108.0,0.48,1.0,0.65,91.0,0.0,0.0,0.0,89.0,1.0,1.0,1.0,89.0,0.98,0.98,0.98,93.0,0.98,1.0,0.99,106.0,1.0,0.98,0.99,94.0,0.99,0.99,0.99,102.0
9,0.8972727060317993,0.22501437366008759,1,0.97,0.96,0.97,120.0,1.0,0.98,0.99,108.0,1.0,0.93,0.96,100.0,0.99,0.95,0.97,108.0,0.47,1.0,0.64,91.0,0.0,0.0,0.0,89.0,1.0,1.0,1.0,89.0,0.97,0.98,0.97,93.0,0.95,1.0,0.98,106.0,1.0,0.98,0.99,94.0,1.0,0.99,1.0,102.0
8,0.8909090757369995,0.25936904549598694,1,1.0,0.97,0.99,120.0,0.88,0.97,0.93,108.0,1.0,0.85,0.92,100.0,0.96,0.99,0.97,108.0,0.0,0.0,0.0,91.0,0.48,1.0,0.64,89.0,1.0,1.0,1.0,89.0,1.0,0.99,0.99,93.0,0.98,0.97,0.98,106.0,1.0,0.98,0.99,94.0,1.0,0.99,1.0,102.0
24,0.9027272462844849,0.21653762459754944,1,0.98,0.96,0.97,120.0,1.0,0.98,0.99,108.0,0.98,0.97,0.97,100.0,0.98,0.98,0.98,108.0,0.5,1.0,0.67,91.0,0.09,0.01,0.02,89.0,1.0,1.0,1.0,89.0,1.0,0.98,0.99,93.0,0.99,0.98,0.99,106.0,1.0,0.98,0.99,94.0,1.0,0.99,1.0,102.0
5,0.9036363363265991,0.19338662922382355,1,1.0,0.98,0.99,120.0,1.0,0.98,0.99,108.0,1.0,0.96,0.98,100.0,0.97,0.99,0.98,108.0,0.0,0.0,0.0,91.0,0.47,1.0,0.64,89.0,1.0,1.0,1.0,89.0,1.0,0.97,0.98,93.0,0.98,1.0,0.99,106.0,1.0,0.98,0.99,94.0,0.99,0.99,0.99,102.0
18,0.9018181562423706,0.1980716586112976,1,1.0,0.98,0.99,120.0,1.0,0.98,0.99,108.0,0.99,0.95,0.97,100.0,0.96,0.99,0.98,108.0,0.0,0.0,0.0,91.0,0.47,0.99,0.64,89.0,1.0,1.0,1.0,89.0,1.0,0.97,0.98,93.0,0.97,1.0,0.99,106.0,1.0,0.98,0.99,94.0,1.0,0.99,1.0,102.0
21,0.9063636660575867,0.19757643342018127,1,1.0,1.0,1.0,120.0,0.97,0.98,0.98,108.0,1.0,0.96,0.98,100.0,0.96,0.99,0.98,108.0,0.49,1.0,0.66,91.0,0.0,0.0,0.0,89.0,1.0,0.98,0.99,89.0,1.0,1.0,1.0,93.0,1.0,0.99,1.0,106.0,0.99,0.98,0.98,94.0,1.0,0.98,0.99,102.0
25,0.8945454359054565,0.23962843418121338,1,0.94,0.99,0.97,120.0,0.96,0.97,0.97,108.0,1.0,0.9,0.95,100.0,0.98,0.97,0.98,108.0,0.0,0.0,0.0,91.0,0.47,0.99,0.63,89.0,1.0,0.98,0.99,89.0,1.0,1.0,1.0,93.0,0.98,0.97,0.98,106.0,1.0,0.99,0.99,94.0,1.0,0.99,1.0,102.0
